species_common_name,species_scientific_name,observation_date,month,state,latitude,longitude,observation_count,plant_common_name,plant_scientific_name,optimal_planting_months,growth_duration_weeks,flowering_period,sunlight_requirement,water_requirement,suitable_regions
Australian Magpie,Gymnorhina tibicen,2022-08-05,August,NSW,-38.415825,144.983258,8,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Australian Magpie,Gymnorhina tibicen,2022-10-30,October,QLD,-36.867078,145.754829,1,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-06-16,June,NSW,-38.019079,143.78223,14,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-01-19,January,VIC,-35.739444,146.337115,4,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-02-11,February,QLD,-37.269397,144.273953,13,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-01,December,NSW,-38.543908,144.164167,11,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-11-16,November,SA,-36.580594,145.127019,17,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-02-12,February,NSW,-37.009726,143.485083,10,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-07-13,July,VIC,-37.757687,145.605723,4,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-10-04,October,WA,-36.820118,144.32933,16,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-12-08,December,QLD,-36.107297,144.656572,8,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Superb Fairywren,Malurus cyaneus,2022-10-14,October,VIC,-38.03749,145.47478,17,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Superb Fairywren,Malurus cyaneus,2022-01-14,January,NSW,-37.831903,145.58122,10,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-03-10,March,QLD,-36.390407,144.07954,15,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Australian Magpie,Gymnorhina tibicen,2022-01-08,January,WA,-37.073237,145.738907,13,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-08-08,August,VIC,-37.409095,145.912803,19,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-01-27,January,SA,-36.311896,145.696593,13,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-07,December,VIC,-36.279758,144.413606,19,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-11-07,November,SA,-36.000869,145.173389,14,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-06-22,June,SA,-37.14756,146.532136,7,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-02-24,February,NSW,-36.81985,146.082603,4,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-11-27,November,SA,-37.601538,144.014325,6,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-23,December,SA,-37.890829,145.921626,17,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-08-11,August,NSW,-38.311533,145.512613,1,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-05-20,May,WA,-37.049461,142.589308,12,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-11-08,November,QLD,-37.005805,143.811005,5,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-07-18,July,QLD,-35.973355,144.04993,10,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-04-18,April,WA,-36.560499,147.795184,15,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-03-02,March,WA,-36.005623,145.592381,13,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-03-22,March,QLD,-36.861304,145.079718,2,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-05-29,May,NSW,-36.944823,144.661857,4,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-01-22,January,SA,-36.63876,145.930467,5,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Australian Magpie,Gymnorhina tibicen,2022-08-02,August,VIC,-33.88575,142.691548,12,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-02-17,February,QLD,-38.090125,145.751007,5,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-06-06,June,WA,-37.172672,145.189189,5,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-04-06,April,QLD,-38.203692,144.873072,19,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-11-24,November,WA,-36.953501,144.96456,8,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Superb Fairywren,Malurus cyaneus,2022-12-02,December,QLD,-37.035964,144.089208,13,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-01-09,January,SA,-37.135644,144.927568,18,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-19,December,NSW,-36.227567,145.975586,2,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-05-22,May,VIC,-36.195068,146.395739,8,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-01-21,January,VIC,-36.863044,144.230496,14,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-11-01,November,WA,-36.745956,145.282754,9,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Australian Magpie,Gymnorhina tibicen,2022-12-25,December,NSW,-38.195445,145.526039,5,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-03-07,March,SA,-37.176788,146.430325,17,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Australian Magpie,Gymnorhina tibicen,2022-01-30,January,WA,-38.045454,146.226651,19,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-03-12,March,VIC,-37.82211,144.238615,5,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-08-02,August,SA,-36.481047,144.829903,19,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-03-12,March,QLD,-37.045094,146.301372,4,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-12-03,December,QLD,-35.21874,144.468038,3,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-11-01,November,WA,-37.614717,145.184628,12,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-07-11,July,QLD,-38.061816,144.817671,14,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-06-02,June,SA,-36.7478,147.052714,19,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-03-16,March,SA,-34.926373,145.807324,15,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-11-04,November,WA,-36.093221,144.902987,1,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-10-01,October,WA,-36.616721,145.72781,10,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-14,December,SA,-38.580019,145.045064,3,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-03-26,March,QLD,-37.173052,144.708516,9,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Rainbow Lorikeet,Trichoglossus moluccanus,2022-01-04,January,WA,-37.562264,145.995763,5,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-01-23,January,VIC,-36.653443,144.663195,19,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-04-25,April,NSW,-35.728274,144.363853,6,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-08-12,August,QLD,-35.45612,144.982771,9,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-11-09,November,VIC,-35.762313,145.922279,8,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Superb Fairywren,Malurus cyaneus,2022-07-01,July,VIC,-38.137993,144.586564,17,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-05-23,May,VIC,-36.625413,145.968957,19,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Australian Magpie,Gymnorhina tibicen,2022-07-10,July,WA,-38.474017,146.623654,13,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-06-21,June,VIC,-36.890861,145.44236,12,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-12-18,December,NSW,-34.888894,144.118883,10,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-01-18,January,SA,-36.725143,143.723896,13,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-10-15,October,NSW,-38.090461,146.696565,16,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-08-07,August,WA,-36.315478,143.0479,6,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-10-04,October,SA,-35.93344,145.970807,2,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Eastern Rosella,Platycercus eximius,2022-02-23,February,NSW,-37.064069,145.78931,15,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-11-06,November,VIC,-37.803452,143.87304,3,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-02-22,February,NSW,-36.915083,144.056326,1,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-09-29,September,QLD,-37.764815,145.452268,17,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-06-02,June,NSW,-37.179374,145.513576,19,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-08-19,August,SA,-36.804326,142.954186,7,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-11-19,November,WA,-37.344332,144.874884,10,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-03-22,March,QLD,-37.638058,145.284706,18,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-08-19,August,WA,-36.098266,144.923021,8,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-08-31,August,QLD,-36.812617,144.666886,11,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-06-21,June,VIC,-37.452301,144.608684,6,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Australian Magpie,Gymnorhina tibicen,2022-09-01,September,QLD,-36.836429,144.420327,2,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-06-10,June,WA,-35.254117,144.270508,18,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-03-26,March,NSW,-36.60255,145.849536,7,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-03,December,VIC,-36.221696,143.555801,20,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-08-12,August,NSW,-37.695622,144.618834,9,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-03-17,March,QLD,-35.810983,146.224319,3,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-03-08,March,NSW,-36.118778,144.471935,15,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Australian Magpie,Gymnorhina tibicen,2022-11-16,November,VIC,-36.562495,145.512032,7,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-09-19,September,QLD,-36.657166,146.615263,15,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-11-02,November,WA,-36.490722,146.95592,5,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-26,December,WA,-35.905978,146.453355,13,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Superb Fairywren,Malurus cyaneus,2022-12-09,December,QLD,-36.49365,144.041005,12,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-02-21,February,SA,-37.47554,145.039461,17,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-08-15,August,QLD,-37.278618,146.390381,16,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-06-08,June,QLD,-36.557433,143.911717,3,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-11-25,November,WA,-35.299803,145.852936,12,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-09-19,September,VIC,-38.108695,146.413558,17,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-04-23,April,VIC,-37.125207,144.272502,15,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-04-11,April,QLD,-36.847145,145.678151,8,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Superb Fairywren,Malurus cyaneus,2022-04-10,April,QLD,-37.090511,144.746793,6,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-04-11,April,QLD,-36.530175,144.639046,19,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Rainbow Lorikeet,Trichoglossus moluccanus,2022-06-30,June,VIC,-37.179032,145.621659,1,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-12-18,December,NSW,-36.736844,146.246469,8,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-04-09,April,VIC,-36.626939,145.852697,1,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-03-29,March,VIC,-36.968528,144.824516,4,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-08-20,August,WA,-34.472483,145.329061,13,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-04-21,April,VIC,-37.743291,144.768491,17,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-02-21,February,QLD,-37.253976,144.480342,11,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Superb Fairywren,Malurus cyaneus,2022-09-25,September,WA,-39.403383,144.304139,16,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-08-16,August,SA,-37.940037,145.94367,15,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-12-21,December,VIC,-38.508433,144.000551,20,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Superb Fairywren,Malurus cyaneus,2022-06-10,June,VIC,-38.212341,145.007519,4,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-05-11,May,VIC,-37.286133,143.981569,19,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-10-03,October,NSW,-37.709168,145.808498,2,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Sulphur-crested Cockatoo,Cacatua galerita,2022-10-22,October,NSW,-36.235104,145.911623,4,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-09-22,September,QLD,-37.51651,144.697376,10,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-12-10,December,WA,-37.271138,146.162294,15,Grevillea,Grevillea spp.,Jul-Oct,14,Jul-Oct,Full Sun,Low,"NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-02-12,February,SA,-36.829239,145.753463,9,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-02-21,February,SA,-37.084324,145.678943,20,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Eastern Rosella,Platycercus eximius,2022-02-05,February,WA,-36.332123,144.731572,6,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Eastern Rosella,Platycercus eximius,2022-02-11,February,SA,-36.16222,145.737702,20,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-11-18,November,QLD,-37.74972,146.018723,9,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Sulphur-crested Cockatoo,Cacatua galerita,2022-11-26,November,NSW,-37.672924,146.090481,16,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-09-17,September,VIC,-37.024111,141.937114,19,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-01-22,January,SA,-37.632572,146.384024,10,Lilly Pilly,Syzygium spp.,Nov-Jan,16,Nov-Jan,Partial Sun,High,"VIC, QLD"
Australian Magpie,Gymnorhina tibicen,2022-01-06,January,SA,-36.45974,142.630246,12,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Australian Magpie,Gymnorhina tibicen,2022-04-07,April,VIC,-36.904764,145.294967,16,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Superb Fairywren,Malurus cyaneus,2022-06-03,June,NSW,-36.819767,144.222982,3,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Australian Magpie,Gymnorhina tibicen,2022-08-17,August,NSW,-36.412596,145.834163,19,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-02-22,February,VIC,-38.440492,146.062026,6,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2022-12-04,December,NSW,-36.498394,145.415304,15,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Australian Magpie,Gymnorhina tibicen,2022-08-05,August,WA,-36.049256,143.153501,19,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
Rainbow Lorikeet,Trichoglossus moluccanus,2022-02-15,February,WA,-37.038905,145.781468,3,Wattle,Acacia spp.,Aug-Sep,8,Aug-Sep,Full Sun,Low,All States
Eastern Rosella,Platycercus eximius,2023-01-01,January,SA,-37.472541,145.50277,6,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-01-08,January,WA,-37.993338,144.764416,4,Bottlebrush,Callistemon spp.,Sep-Nov,10,Sep-Nov,Full Sun,Moderate,"VIC, NSW, QLD"
Sulphur-crested Cockatoo,Cacatua galerita,2022-02-25,February,WA,-36.387544,145.966323,6,Kangaroo Paw,Anigozanthos spp.,Aug-Dec,12,Aug-Dec,Full Sun,Low,WA
